  1
e 01
a 001
t 0001
o 00001
n 000001
h 0000001
i 00000001
s 000000001
r 0000000001
d 00000000001
l 000000000001

 0000000000001
u 00000000000001
m 000000000000001
f 0000000000000001
c 00000000000000001
, 000000000000000001
w 0000000000000000001
g 00000000000000000001
y 000000000000000000001
b 0000000000000000000001
p 00000000000000000000001
v 000000000000000000000001
k 0000000000000000000000001
I 00000000000000000000000001
E 000000000000000000000000001
A 0000000000000000000000000001
T 00000000000000000000000000001
. 000000000000000000000000000001
H 0000000000000000000000000000001
M 00000000000000000000000000000001
R 000000000000000000000000000000001
C 0000000000000000000000000000000001
O 00000000000000000000000000000000001
L 000000000000000000000000000000000001
- 0000000000000000000000000000000000001
P 00000000000000000000000000000000000001
U 000000000000000000000000000000000000001
x 0000000000000000000000000000000000000001
1 00000000000000000000000000000000000000001
V 000000000000000000000000000000000000000001
; 0000000000000000000000000000000000000000001
S 00000000000000000000000000000000000000000001
D 000000000000000000000000000000000000000000001
Q 0000000000000000000000000000000000000000000001
q 00000000000000000000000000000000000000000000001
6 000000000000000000000000000000000000000000000001
G 0000000000000000000000000000000000000000000000001
F 00000000000000000000000000000000000000000000000001
N 000000000000000000000000000000000000000000000000001
B 0000000000000000000000000000000000000000000000000001
7 00000000000000000000000000000000000000000000000000001
j 000000000000000000000000000000000000000000000000000001
“ 0000000000000000000000000000000000000000000000000000001
” 00000000000000000000000000000000000000000000000000000001
z 000000000000000000000000000000000000000000000000000000001
( 0000000000000000000000000000000000000000000000000000000001
) 00000000000000000000000000000000000000000000000000000000001
’ 000000000000000000000000000000000000000000000000000000000001
2 0000000000000000000000000000000000000000000000000000000000001
3 00000000000000000000000000000000000000000000000000000000000001
4 000000000000000000000000000000000000000000000000000000000000001
5 0000000000000000000000000000000000000000000000000000000000000001
K 00000000000000000000000000000000000000000000000000000000000000001
– 000000000000000000000000000000000000000000000000000000000000000001
W 0000000000000000000000000000000000000000000000000000000000000000001
X 00000000000000000000000000000000000000000000000000000000000000000001
Y 000000000000000000000000000000000000000000000000000000000000000000001
8 0000000000000000000000000000000000000000000000000000000000000000000001
9 00000000000000000000000000000000000000000000000000000000000000000000001
0 000000000000000000000000000000000000000000000000000000000000000000000001
‘ 0000000000000000000000000000000000000000000000000000000000000000000000001
? 00000000000000000000000000000000000000000000000000000000000000000000000001
! 000000000000000000000000000000000000000000000000000000000000000000000000001
